统计时间,所用电量,金额
20240620232734,0.5,0.5
20240620232834,0.5,0.5
20240620232934,0.5,0.5
20240620233034,0.5,0.5
20240620233134,0.5,0.5
20240620233234,0.5,0.5
20240620233334,0.5,0.5
20240620233434,0.5,0.5
20240620233535,0.5,0.5
20240620233634,0.5,0.5
20240620234405,0.5,0.5
20240620234505,0.5,0.5
20240620234605,0.5,0.5
20240620234705,0.5,0.5
20240620234806,0.5,0.5
20240620235906,0.5,0.5
20240621000006,0.5,0.5
20240621000107,0.5,0.5
20240621000207,0.5,0.5
20240621000307,0.5,0.5
20240621000407,0.5,0.5
20240621000507,0.5,0.5
20240621000607,0.5,0.5
20240621000707,0.5,0.5
20240621001208,0.5,0.5
20240621001308,0.5,0.5
20240621002008,0.5,0.5
20240621002108,0.5,0.5
20240621002208,0.5,0.5
20240621002308,0.5,0.5
20240621003109,0.5,0.5
20240621003209,0.5,0.5
20240621003309,0.5,0.5
20240621003410,0.5,0.5
20240621003510,0.5,0.5
